W/L (nm);Wavenumber ();Transmission 
1250;8000;0
1250;8000;-0.55
1250;8000;-0.5
1250;8000;-0.43
1250;8000;-0.33
1250;8000;-0.23
1250;8000;-0.15
1250;8000;-0.12
1250;8000;-0.13
1250;8000;-0.18
1250;8000;-0.24
1250;8000;-0.29
1250;8000;-0.29
1250;8000;-0.23
1251;7993.605116;-0.12
1251;7993.605116;0.04
1251;7993.605116;0.22
1251;7993.605116;0.4
1251;7993.605116;0.58
1251;7993.605116;0.76
1251;7993.605116;0.93
1251;7993.605116;1.11
1251;7993.605116;1.29
1251;7993.605116;1.49
1251;7993.605116;1.69
1251;7993.605116;1.91
1251;7993.605116;2.11
1251;7993.605116;2.28
1251;7993.605116;2.37
1251;7993.605116;2.36
1251;7993.605116;2.22
1251;7993.605116;1.94
1251;7993.605116;1.51
1251;7993.605116;0.99
1251;7993.605116;0.4
1251;7993.605116;-0.18
1251;7993.605116;-0.7
1251;7993.605116;-1.11
1251;7993.605116;-1.36
1251;7993.605116;-1.43
1251;7993.605116;-1.34
1252;7987.220447;-1.1
1252;7987.220447;-0.75
1252;7987.220447;-0.36
1252;7987.220447;0.03
1252;7987.220447;0.37
1252;7987.220447;0.65
1252;7987.220447;0.87
1252;7987.220447;1.05
1252;7987.220447;1.21
1252;7987.220447;1.39
1252;7987.220447;1.58
1252;7987.220447;1.76
1252;7987.220447;1.88
1252;7987.220447;1.91
1252;7987.220447;1.82
1252;7987.220447;1.62
1252;7987.220447;1.35
1252;7987.220447;1.06
1252;7987.220447;0.8
1252;7987.220447;0.6
1252;7987.220447;0.46
1252;7987.220447;0.36
1252;7987.220447;0.25
1252;7987.220447;0.1
1252;7987.220447;-0.09
1252;7987.220447;-0.33
1253;7980.84597;-0.56
1253;7980.84597;-0.77
1253;7980.84597;-0.93
1253;7980.84597;-1.02
1253;7980.84597;-1.05
1253;7980.84597;-1.06
1253;7980.84597;-1.05
1253;7980.84597;-1.04
1253;7980.84597;-1
1253;7980.84597;-0.95
1253;7980.84597;-0.86
1253;7980.84597;-0.74
1253;7980.84597;-0.61
1253;7980.84597;-0.52
1253;7980.84597;-0.47
1253;7980.84597;-0.49
1253;7980.84597;-0.56
1253;7980.84597;-0.63
1253;7980.84597;-0.66
1253;7980.84597;-0.59
1253;7980.84597;-0.36
1253;7980.84597;0.03
1253;7980.84597;0.55
1253;7980.84597;1.14
1253;7980.84597;1.7
1253;7980.84597;2.14
1253;7980.84597;2.39
1254;7974.481659;2.43
1254;7974.481659;2.27
1254;7974.481659;1.97
1254;7974.481659;1.61
1254;7974.481659;1.23
1254;7974.481659;0.9
1254;7974.481659;0.63
1254;7974.481659;0.42
1254;7974.481659;0.26
1254;7974.481659;0.13
1254;7974.481659;0.03
1254;7974.481659;-0.04
1254;7974.481659;-0.07
1254;7974.481659;-0.05
1254;7974.481659;-0.01
1254;7974.481659;0.05
1254;7974.481659;0.09
1254;7974.481659;0.09
1254;7974.481659;0.04
1254;7974.481659;-0.03
1254;7974.481659;-0.09
1254;7974.481659;-0.09
1254;7974.481659;0.01
1254;7974.481659;0.2
1254;7974.481659;0.47
1254;7974.481659;0.75
1255;7968.12749;0.98
1255;7968.12749;1.09
1255;7968.12749;1.06
1255;7968.12749;0.89
1255;7968.12749;0.64
1255;7968.12749;0.39
1255;7968.12749;0.2
1255;7968.12749;0.12
1255;7968.12749;0.17
1255;7968.12749;0.34
1255;7968.12749;0.59
1255;7968.12749;0.86
1255;7968.12749;1.14
1255;7968.12749;1.4
1255;7968.12749;1.65
1255;7968.12749;1.91
1255;7968.12749;2.18
1255;7968.12749;2.47
1255;7968.12749;2.74
1255;7968.12749;2.95
1255;7968.12749;3.05
1255;7968.12749;3
1255;7968.12749;2.78
1255;7968.12749;2.41
1255;7968.12749;1.95
1255;7968.12749;1.46
1256;7961.783439;1.04
1256;7961.783439;0.75
1256;7961.783439;0.64
1256;7961.783439;0.71
1256;7961.783439;0.93
1256;7961.783439;1.25
1256;7961.783439;1.58
1256;7961.783439;1.85
1256;7961.783439;2.02
1256;7961.783439;2.07
1256;7961.783439;2.02
1256;7961.783439;1.92
1256;7961.783439;1.81
1256;7961.783439;1.72
1256;7961.783439;1.64
1256;7961.783439;1.56
1256;7961.783439;1.41
1256;7961.783439;1.16
1256;7961.783439;0.77
1256;7961.783439;0.25
1256;7961.783439;-0.33
1256;7961.783439;-0.9
1256;7961.783439;-1.36
1256;7961.783439;-1.67
1256;7961.783439;-1.81
1256;7961.783439;-1.82
1256;7961.783439;-1.76
1257;7955.449483;-1.74
1257;7955.449483;-1.79
1257;7955.449483;-1.93
1257;7955.449483;-2.14
1257;7955.449483;-2.33
1257;7955.449483;-2.44
1257;7955.449483;-2.41
1257;7955.449483;-2.25
1257;7955.449483;-1.99
1257;7955.449483;-1.7
1257;7955.449483;-1.47
1257;7955.449483;-1.34
1257;7955.449483;-1.32
1257;7955.449483;-1.39
1257;7955.449483;-1.51
1257;7955.449483;-1.61
1257;7955.449483;-1.66
1257;7955.449483;-1.65
1257;7955.449483;-1.58
1257;7955.449483;-1.49
1257;7955.449483;-1.38
1257;7955.449483;-1.27
1257;7955.449483;-1.15
1257;7955.449483;-1.04
1257;7955.449483;-0.93
1257;7955.449483;-0.85
1258;7949.125596;-0.81
1258;7949.125596;-0.84
1258;7949.125596;-0.93
1258;7949.125596;-1.07
1258;7949.125596;-1.23
1258;7949.125596;-1.37
1258;7949.125596;-1.46
1258;7949.125596;-1.47
1258;7949.125596;-1.42
1258;7949.125596;-1.32
1258;7949.125596;-1.21
1258;7949.125596;-1.09
1258;7949.125596;-0.99
1258;7949.125596;-0.89
1258;7949.125596;-0.77
1258;7949.125596;-0.61
1258;7949.125596;-0.4
1258;7949.125596;-0.15
1258;7949.125596;0.1
1258;7949.125596;0.3
1258;7949.125596;0.41
1258;7949.125596;0.39
1258;7949.125596;0.25
1258;7949.125596;0.01
1258;7949.125596;-0.3
1258;7949.125596;-0.61
1259;7942.811755;-0.89
1259;7942.811755;-1.11
1259;7942.811755;-1.29
1259;7942.811755;-1.42
1259;7942.811755;-1.53
1259;7942.811755;-1.63
1259;7942.811755;-1.71
1259;7942.811755;-1.74
1259;7942.811755;-1.7
1259;7942.811755;-1.58
1259;7942.811755;-1.38
1259;7942.811755;-1.16
1259;7942.811755;-0.95
1259;7942.811755;-0.8
1259;7942.811755;-0.74
1259;7942.811755;-0.78
1259;7942.811755;-0.89
1259;7942.811755;-1.04
1259;7942.811755;-1.17
1259;7942.811755;-1.26
1259;7942.811755;-1.31
1259;7942.811755;-1.31
1259;7942.811755;-1.29
1259;7942.811755;-1.26
1259;7942.811755;-1.22
1259;7942.811755;-1.17
1260;7936.507937;-1.1
1260;7936.507937;-1.03
1260;7936.507937;-0.97
1260;7936.507937;-0.92
1260;7936.507937;-0.91
1260;7936.507937;-0.92
1260;7936.507937;-0.93
1260;7936.507937;-0.9
1260;7936.507937;-0.79
1260;7936.507937;-0.58
1260;7936.507937;-0.26
1260;7936.507937;0.15
1260;7936.507937;0.59
1260;7936.507937;1.03
1260;7936.507937;1.41
1260;7936.507937;1.71
1260;7936.507937;1.93
1260;7936.507937;2.08
1260;7936.507937;2.15
1260;7936.507937;2.16
1260;7936.507937;2.1
1260;7936.507937;1.96
1260;7936.507937;1.74
1260;7936.507937;1.48
1260;7936.507937;1.2
1260;7936.507937;0.95
1260;7936.507937;0.76
1261;7930.214116;0.66
1261;7930.214116;0.61
1261;7930.214116;0.6
1261;7930.214116;0.58
1261;7930.214116;0.52
1261;7930.214116;0.4
1261;7930.214116;0.22
1261;7930.214116;0.01
1261;7930.214116;-0.2
1261;7930.214116;-0.39
1261;7930.214116;-0.54
1261;7930.214116;-0.65
1261;7930.214116;-0.72
1261;7930.214116;-0.75
1261;7930.214116;-0.72
1261;7930.214116;-0.64
1261;7930.214116;-0.47
1261;7930.214116;-0.22
1261;7930.214116;0.08
1261;7930.214116;0.43
1261;7930.214116;0.78
1261;7930.214116;1.09
1261;7930.214116;1.36
1261;7930.214116;1.56
1261;7930.214116;1.7
1261;7930.214116;1.8
1262;7923.930269;1.86
1262;7923.930269;1.88
1262;7923.930269;1.86
1262;7923.930269;1.79
1262;7923.930269;1.67
1262;7923.930269;1.53
1262;7923.930269;1.37
1262;7923.930269;1.24
1262;7923.930269;1.15
1262;7923.930269;1.1
1262;7923.930269;1.09
1262;7923.930269;1.09
1262;7923.930269;1.07
1262;7923.930269;1
1262;7923.930269;0.87
1262;7923.930269;0.69
1262;7923.930269;0.47
1262;7923.930269;0.22
1262;7923.930269;-0.04
1262;7923.930269;-0.3
1262;7923.930269;-0.54
1262;7923.930269;-0.74
1262;7923.930269;-0.89
1262;7923.930269;-0.95
1262;7923.930269;-0.91
1262;7923.930269;-0.76
1263;7917.656374;-0.52
1263;7917.656374;-0.24
1263;7917.656374;0.04
1263;7917.656374;0.24
1263;7917.656374;0.33
1263;7917.656374;0.29
1263;7917.656374;0.11
1263;7917.656374;-0.15
1263;7917.656374;-0.43
1263;7917.656374;-0.68
1263;7917.656374;-0.84
1263;7917.656374;-0.87
1263;7917.656374;-0.77
1263;7917.656374;-0.56
1263;7917.656374;-0.27
1263;7917.656374;0.05
1263;7917.656374;0.33
1263;7917.656374;0.54
1263;7917.656374;0.64
1263;7917.656374;0.64
1263;7917.656374;0.54
1263;7917.656374;0.37
1263;7917.656374;0.17
1263;7917.656374;-0.01
1263;7917.656374;-0.16
1263;7917.656374;-0.27
1264;7911.392405;-0.31
1264;7911.392405;-0.31
1264;7911.392405;-0.26
1264;7911.392405;-0.15
1264;7911.392405;0.02
1264;7911.392405;0.26
1264;7911.392405;0.56
1264;7911.392405;0.93
1264;7911.392405;1.33
1264;7911.392405;1.74
1264;7911.392405;2.12
1264;7911.392405;2.43
1264;7911.392405;2.67
1264;7911.392405;2.83
1264;7911.392405;2.89
1264;7911.392405;2.85
1264;7911.392405;2.72
1264;7911.392405;2.48
1264;7911.392405;2.15
1264;7911.392405;1.77
1264;7911.392405;1.37
1264;7911.392405;1.01
1264;7911.392405;0.75
1264;7911.392405;0.6
1264;7911.392405;0.58
1264;7911.392405;0.66
1265;7905.13834;0.77
1265;7905.13834;0.86
1265;7905.13834;0.85
1265;7905.13834;0.72
1265;7905.13834;0.47
1265;7905.13834;0.12
1265;7905.13834;-0.27
1265;7905.13834;-0.64
1265;7905.13834;-0.94
1265;7905.13834;-1.11
1265;7905.13834;-1.14
1265;7905.13834;-1.03
1265;7905.13834;-0.81
1265;7905.13834;-0.54
1265;7905.13834;-0.29
1265;7905.13834;-0.11
1265;7905.13834;-0.07
1265;7905.13834;-0.17
1265;7905.13834;-0.37
1265;7905.13834;-0.61
1265;7905.13834;-0.8
1265;7905.13834;-0.88
1265;7905.13834;-0.78
1265;7905.13834;-0.54
1265;7905.13834;-0.18
1265;7905.13834;0.22
1266;7898.894155;0.58
1266;7898.894155;0.87
1266;7898.894155;1.07
1266;7898.894155;1.23
1266;7898.894155;1.36
1266;7898.894155;1.52
1266;7898.894155;1.7
1266;7898.894155;1.87
1266;7898.894155;1.98
1266;7898.894155;1.98
1266;7898.894155;1.83
1266;7898.894155;1.56
1266;7898.894155;1.21
1266;7898.894155;0.87
1266;7898.894155;0.62
1266;7898.894155;0.5
1266;7898.894155;0.54
1266;7898.894155;0.68
1266;7898.894155;0.88
1266;7898.894155;1.07
1266;7898.894155;1.18
1266;7898.894155;1.2
1266;7898.894155;1.11
1266;7898.894155;0.95
1266;7898.894155;0.73
1267;7892.659826;0.46
1267;7892.659826;0.18
1267;7892.659826;-0.12
1267;7892.659826;-0.41
1267;7892.659826;-0.68
1267;7892.659826;-0.9
1267;7892.659826;-1.04
1267;7892.659826;-1.08
1267;7892.659826;-1.02
1267;7892.659826;-0.85
1267;7892.659826;-0.61
1267;7892.659826;-0.34
1267;7892.659826;-0.07
1267;7892.659826;0.17
1267;7892.659826;0.36
1267;7892.659826;0.49
1267;7892.659826;0.57
1267;7892.659826;0.59
1267;7892.659826;0.57
1267;7892.659826;0.53
1267;7892.659826;0.47
1267;7892.659826;0.41
1267;7892.659826;0.36
1267;7892.659826;0.32
1267;7892.659826;0.27
1267;7892.659826;0.21
1268;7886.435331;0.11
1268;7886.435331;-0.04
1268;7886.435331;-0.25
1268;7886.435331;-0.5
1268;7886.435331;-0.78
1268;7886.435331;-1.04
1268;7886.435331;-1.26
1268;7886.435331;-1.41
1268;7886.435331;-1.47
